,,,,,,,,,,,,,,
,,CLTR205-017,대학글쓰기,3.0 ,,3.0 ,,,"월8B,9A,9B 수7A,7B,8A",,,농대1호관-323,산림과학.조경학부,
,,CLTR205-018,대학글쓰기,3.0 ,,3.0 ,,,"월8B,9A,9B 수7A,7B,8A",,,복현회관-301,산림과학.조경학부,
,,CLTR205-019,대학글쓰기,3.0 ,,3.0 ,,,"월8B,9A,9B 수7A,7B,8A",,,농대3호관-522,산림과학.조경학부,
,,CLTR205-020,대학글쓰기,3.0 ,,3.0 ,,,"월7A,7B,8A 금7A,7B,8A",,,제4합동강의동-104,국어교육과,
,,CLTR205-021,대학글쓰기,3.0 ,,3.0 ,,,"수8B,9A,9B 금8B,9A,9B",,,제4합동강의동-104,영어교육과,
,,CLTR205-022,대학글쓰기,3.0 ,,3.0 ,,,"월5B,6A,6B 금5B,6A,6B",,,제4합동강의동-210,독어교육전공,
,,CLTR205-024,대학글쓰기,3.0 ,,3.0 ,,,"수8B,9A,9B 금8B,9A,9B",,,제4합동강의동-408,간호학과,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(글쓰기),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR205-025,대학글쓰기,3.0 ,,3.0 ,,,"수8B,9A,9B 금8B,9A,9B",,,제4합동강의동-407,간호학과,
,,CLTR205-026,대학글쓰기,3.0 ,,3.0 ,,,"수8B,9A,9B 금8B,9A,9B",,,KNU글로벌프라자-304,간호학과,
,,CLTR205-027,대학글쓰기,3.0 ,,3.0 ,,,"수8B,9A,9B 금8B,9A,9B",,,KNU글로벌프라자-307,간호학과,
,,CLTR205-028,대학글쓰기,3.0 ,,3.0 ,,,"화5B,6A,6B 목5B,6A,6B",,,제4합동강의동-407,의예과,
,,CLTR205-029,대학글쓰기,3.0 ,,3.0 ,,,"화5B,6A,6B 목5B,6A,6B",,,제4합동강의동-402,의예과,
,,CLTR205-030,대학글쓰기,3.0 ,,3.0 ,,,"화5B,6A,6B 목5B,6A,6B",,,제4합동강의동-404,의예과,
,,CLTR205-031,대학글쓰기,3.0 ,,3.0 ,,,"목7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-211,생태관광전공,
,,CLTR205-032,대학글쓰기,3.0 ,,3.0 ,,,"월7A,7B,8A 금7A,7B,8A",,,법과대학(법학전문대학원)-101,행정학부,
,,CLTR205-033,대학글쓰기,3.0 ,,3.0 ,,,"월7A,7B,8A 금7A,7B,8A",,,법과대학(법학전문대학원)-104,행정학부,
,,CLTR205-034,대학글쓰기,3.0 ,,3.0 ,,,"월7A,7B,8A 금7A,7B,8A",,,법과대학(법학전문대학원)-205,행정학부,
,,CLTR205-035,대학글쓰기,3.0 ,,3.0 ,,,"수1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-303,건설방재공학부,
,,CLTR205-036,대학글쓰기,3.0 ,,3.0 ,,,"수1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-105-1,건설방재공학부,
,,CLTR205-037,대학글쓰기,3.0 ,,3.0 ,,,"수7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-211,건설방재공학부,
,,CLTR205-038,대학글쓰기,3.0 ,,3.0 ,,,"목1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-211,패션디자인전공,
,,CLTR205-039,대학글쓰기,3.0 ,,3.0 ,,,"목1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-404,패션디자인전공,
,,CLTR205-040,대학글쓰기,3.0 ,,3.0 ,,,"수7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-105-1,소프트웨어학과,
,,CLTR208-002,심화글쓰기,3.0 ,,3.0 ,,이준섭,"월2B,3A,3B 금1A,1B,2A",,,KNU글로벌프라자-308,일어일문학과,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(실용영어),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR411-001,실용영어1,2.0 ,,2.0 ,,"빌즈, 그라함 해롤드","월1A,1B 수3A,3B",,,외국어교육관-402,기계공학부,
,,CLTR411-002,실용영어1,2.0 ,,2.0 ,,"존슨,오스틴","월1A,1B 수3A,3B",,,외국어교육관-406,기계공학부,
,,CLTR411-003,실용영어1,2.0 ,,2.0 ,,"휴거, 이안 에드먼드","월1A,1B 수3A,3B",,,외국어교육관-403,기계공학부,
,,CLTR411-004,실용영어1,2.0 ,,2.0 ,,"토마스, 재커리 제이","월1A,1B 수3A,3B",,,외국어교육관-422,기계공학부,
,,CLTR411-005,실용영어1,2.0 ,,2.0 ,,"쿡, 콜린 제임스","월1A,1B 수3A,3B",,,외국어교육관-413,기계공학부,
,,CLTR411-006,실용영어1,2.0 ,,2.0 ,,"워트링,앤쏘니","월1A,1B 수3A,3B",,,외국어교육관-421,기계공학부,
,,CLTR411-007,실용영어1,2.0 ,,2.0 ,,"드니아,토비","월1A,1B 수3A,3B",,,외국어교육관-423,기계공학부,
,,CLTR411-008,실용영어1,2.0 ,,2.0 ,,"존슨,오스틴","화2A,2B 목2A,2B",,,외국어교육관-406,고분자공학과,
,,CLTR411-009,실용영어1,2.0 ,,2.0 ,,"위드로우, 애덤 크리스토퍼","화2A,2B 목2A,2B",,,외국어교육관-420,고분자공학과,
,,CLTR411-010,실용영어1,2.0 ,,2.0 ,,"휴거, 이안 에드먼드","화2A,2B 목2A,2B",,,외국어교육관-403,고분자공학과,
